region,lat,lon,soil_attribute,unit,upper_depth_cm,lower_depth_cm,value,lower_uncertainty,upper_uncertainty
Tasmania,-42.0,147.0,TOTAL_N,%,15.0,30.0,0.11573261022567749,0.028310323134064674,0.46902596950531006
Tasmania,-42.0,147.0,TOTAL_N,%,30.0,60.0,0.07762204855680466,0.01967591978609562,0.3093961775302887
Tasmania,-42.0,147.0,TOTAL_N,%,60.0,100.0,0.04727562889456749,0.012856577523052692,0.19014541804790497
Tasmania,-42.0,147.0,TOTAL_N,%,100.0,200.0,0.0368923656642437,0.010123352520167828,0.15261252224445343
Tasmania,-42.0,147.0,TOTAL_P,%,0.0,5.0,0.03928375616669655,0.020733756944537163,0.07168375700712204
Tasmania,-42.0,147.0,TOTAL_P,%,5.0,15.0,0.03554537147283554,0.008421705104410648,0.15292680263519287
Tasmania,-42.0,147.0,TOTAL_P,%,15.0,30.0,0.031811680644750595,0.007697584107518196,0.13665086030960083
Tasmania,-42.0,147.0,TOTAL_P,%,30.0,60.0,0.030575789511203766,0.007354365196079016,0.1286536455154419
Tasmania,-42.0,147.0,TOTAL_P,%,60.0,100.0,0.030963052064180374,0.007423114497214556,0.13127495348453522
Tasmania,-42.0,147.0,TOTAL_P,%,100.0,200.0,0.03012976050376892,0.007210703566670418,0.1314660757780075
Tasmania,-42.0,147.0,ECEC,meq/100g,0.0,5.0,20.734943389892578,4.1650776863098145,130.7364501953125
Tasmania,-42.0,147.0,ECEC,meq/100g,5.0,15.0,18.316415786743164,3.622725486755371,120.48066711425781
Tasmania,-42.0,147.0,ECEC,meq/100g,15.0,30.0,15.233052253723145,2.905503749847412,112.9412612915039
Tasmania,-42.0,147.0,ECEC,meq/100g,30.0,60.0,16.19921112060547,2.9070897102355957,114.10079193115234
Tasmania,-42.0,147.0,ECEC,meq/100g,60.0,100.0,16.026132583618164,2.7887210845947266,110.92359161376953
Tasmania,-42.0,147.0,ECEC,meq/100g,100.0,200.0,14.106261253356934,2.2225513458251953,107.92031860351562
Tasmania,-42.0,147.0,AWC,%,0.0,5.0,15.232708930969238,7.535912036895752,22.929506301879883
Tasmania,-42.0,147.0,AWC,%,5.0,15.0,15.306985855102539,8.093263626098633,22.520706176757812
Tasmania,-42.0,147.0,AWC,%,15.0,30.0,15.35755729675293,8.612815856933594,22.102298736572266
Tasmania,-42.0,147.0,AWC,%,30.0,60.0,14.718064308166504,7.829886436462402,21.606243133544922
Tasmania,-42.0,147.0,AWC,%,60.0,100.0,14.226799011230469,6.994406223297119,21.459192276000977
